Subject,Mutant,Failed TCs,Total Probes,Top Condition,Max Suspicion,Status,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17
tcas,v23,42,6,c4,0.6498,ACCEPTED,0.5048,0.611,0.0,0.6498,0.6498,0.0,,,,,,,,,,,
tcas,v24,7,6,c4,0.6456,ACCEPTED,0.5047,0.6081,0.0,0.6456,0.6456,0.0,,,,,,,,,,,
tcas,v25,4,6,c4,0.6452,ACCEPTED,0.5047,0.6078,0.0,0.6452,0.6452,0.0,,,,,,,,,,,
tcas,v26,11,6,c6,0.8751,ACCEPTED,0.5047,0.595,0.4757,0.5837,0.634,0.8751,,,,,,,,,,,
tcas,v27,10,6,c6,0.8464,ACCEPTED,0.5047,0.5873,0.0,0.624,0.6281,0.8464,,,,,,,,,,,
tcas,v28,76,6,c6,0.7065,ACCEPTED,0.5049,0.614,0.3511,0.6263,0.6541,0.7065,,,,,,,,,,,
tcas,v29,18,6,c5,0.6469,ACCEPTED,0.5048,0.609,0.2246,0.6334,0.6469,0.0,,,,,,,,,,,
tcas,v3,23,6,c6,0.9003,ACCEPTED,0.5048,0.6094,0.8485,0.0,0.6201,0.9003,,,,,,,,,,,
tcas,v30,58,6,c6,0.7468,ACCEPTED,0.5049,0.6124,0.3849,0.6201,0.6518,0.7468,,,,,,,,,,,
tcas,v31,14,6,c6,0.9166,ACCEPTED,0.5047,0.6086,0.5299,0.5887,0.6464,0.9166,,,,,,,,,,,
tcas,v32,2,6,c4,0.645,ACCEPTED,0.5047,0.6076,0.0,0.645,0.645,0.0,,,,,,,,,,,
tcas,v33,89,6,c5,0.6559,ACCEPTED,0.505,0.6152,0.5305,0.5942,0.6559,0.0,,,,,,,,,,,
tcas,v34,77,6,c6,0.8848,ACCEPTED,0.5049,0.0,0.0,0.5318,0.5696,0.8848,,,,,,,,,,,
tcas,v35,76,6,c6,0.7065,ACCEPTED,0.5049,0.614,0.3511,0.6263,0.6541,0.7065,,,,,,,,,,,
tcas,v36,123,6,c5,0.6606,ACCEPTED,0.5051,0.6185,0.4708,0.611,0.6606,0.0,,,,,,,,,,,
tcas,v37,95,6,c5,0.6567,ACCEPTED,0.505,0.6158,0.5269,0.5956,0.6567,0.0,,,,,,,,,,,
tcas,v38,76,6,c6,0.7323,ACCEPTED,0.5049,0.614,0.4721,0.6068,0.6541,0.7323,,,,,,,,,,,
tcas,v39,4,6,c4,0.6452,ACCEPTED,0.5047,0.6078,0.0,0.6452,0.6452,0.0,,,,,,,,,,,
tcas,v4,23,6,c6,0.9162,ACCEPTED,0.5048,0.6094,0.3119,0.6259,0.6475,0.9162,,,,,,,,,,,
